image,system,embed_psnr,embed_ssim,condition,family,param,attack_psnr,attack_ssim,admissible,detected,log10p,A,L,A_log10p,L_log10p,A_anchor,L_bit_accuracy,C,C_log10p,C_bit_accuracy,bit_acc
img_0000.png,sigil,30.677017999634376,0.922950267791748,clean,none,,inf,1.0,1,1,-48.01125710437381,15.707180976867676,4.7760491371154785,-48.31228710003779,0.0,nonce,0.51953125,,,,
img_0000.png,sigil,30.677017999634376,0.922950267791748,unmarked,none,,inf,1.0,1,0,0.0,2.782482624053955,4.785809516906738,0.0,0.0,nonce,0.46484375,,,,
img_0000.png,sigil,30.677017999634376,0.922950267791748,wrong_key,none,,inf,1.0,1,0,0.0,2.9280316829681396,4.709015846252441,0.0,0.0,nonce,0.4609375,,,,
img_0000.png,sigil,30.677017999634376,0.922950267791748,jpeg_q50,valuemetric,q=50,29.513771643029557,0.8318093419075012,1,1,-38.42849576388653,14.233245849609375,4.607144832611084,-38.72952575955051,0.0,nonce,0.51171875,,,,
img_0000.png,sigil,30.677017999634376,0.922950267791748,crop_0.75,geometric,0.75,inf,1.0,1,1,-7.281998299559793,7.690927505493164,4.074221611022949,-7.583028295223774,0.0,nonce,0.51171875,,,,
img_0000.png,sigil,30.677017999634376,0.922950267791748,rotate_5,geometric,5.0deg,inf,1.0,1,0,0.0,3.5242013931274414,4.415677547454834,0.0,0.0,nonce,0.44921875,,,,
img_0000.png,synthid,36.61858134458038,0.9683385491371155,clean,none,,inf,1.0,1,1,-50.0722798391354,,15.185235271790784,,,,,,,,0.7020833333333333
img_0000.png,synthid,36.61858134458038,0.9683385491371155,unmarked,none,,inf,1.0,1,0,-0.07015847579158337,,0.5684115771250328,,,,,,,,0.5208333333333334
img_0000.png,synthid,36.61858134458038,0.9683385491371155,jpeg_q50,valuemetric,q=50,29.819459857644564,0.8371534943580627,1,1,-41.6471239282917,,13.848902246991281,,,,,,,,0.6895833333333333
img_0000.png,synthid,36.61858134458038,0.9683385491371155,crop_0.75,geometric,0.75,inf,1.0,1,0,0.0,,-0.31846808687870365,,,,,,,,0.4875
img_0000.png,synthid,36.61858134458038,0.9683385491371155,rotate_5,geometric,5.0deg,inf,1.0,1,0,-0.3096129683287708,,1.1940772215158157,,,,,,,,0.50625
