image,system,embed_psnr,embed_ssim,condition,family,param,attack_psnr,attack_ssim,admissible,detected,log10p,A,L,A_log10p,L_log10p,A_anchor,L_bit_accuracy,C,C_log10p,C_bit_accuracy,photometric_psnr,photometric_ssim,bit_acc
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,clean,none,,inf,1.0,1,1,-212.74130487080976,15.759723663330078,31.999996185302734,-48.722461252018604,-213.04233486647374,nonce,1.0,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,unmarked,none,,inf,1.0,1,0,0.0,3.591085910797119,5.286040782928467,0.0,0.0,nonce,0.537109375,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,wrong_key,none,,inf,1.0,1,0,0.0,3.8271586894989014,5.20631217956543,0.0,0.0,nonce,0.521484375,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,jpeg_q90,valuemetric,q=90,33.65120477212916,0.9039546847343445,1,1,-212.7411723346875,15.640752792358398,31.99998664855957,-47.91125517667626,-213.04220233035147,nonce,1.0,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,jpeg_q75,valuemetric,q=75,30.189871088713986,0.8081489205360413,1,1,-212.73674565089536,15.247617721557617,31.99966812133789,-45.274370710200536,-213.03777564655934,nonce,1.0,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,jpeg_q50,valuemetric,q=50,28.403875167435295,0.7333510518074036,1,1,-201.61816404931366,13.472702026367188,31.189353942871094,-34.20504118865933,-201.91919404497764,nonce,0.984375,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,jpeg_q30,valuemetric,q=30,27.302080416325197,0.6731229424476624,0,1,-152.78995835026475,11.738131523132324,27.34800910949707,-24.709199239108667,-153.09098834592874,nonce,0.91015625,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,jpeg_q20,valuemetric,q=20,26.519048049896657,0.6284173130989075,0,1,-26.384125254335256,9.758456230163574,12.87607192993164,-15.468224000491384,-26.685155249999237,nonce,0.677734375,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,double_jpeg_70_40,valuemetric,q=70/40,27.42946301359122,0.6658339500427246,0,1,-111.07987356867464,11.897358894348145,23.576080322265625,-25.526414858636233,-111.38090356433862,nonce,0.8388671875,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,webp_q70,valuemetric,q=70,31.090009577505818,0.8524449467658997,1,1,-212.5027243243182,11.819241523742676,31.982824325561523,-25.124110841729568,-212.80375431998218,nonce,1.0,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,webp_q40,valuemetric,q=40,28.726427642871087,0.7460496425628662,1,1,-184.07488170275326,9.375980377197266,29.866134643554688,-13.879040611634748,-184.37591169841724,nonce,0.9658203125,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,noise_s4,valuemetric,sigma=4.0,36.085425895340364,0.9383602142333984,1,1,-212.74133137803895,15.278942108154297,31.999998092651367,-45.48201249605288,-213.04236137370293,nonce,1.0,,,,,,
-KJm6jhj7sM.png,sigil,31.003625358684552,0.7973260283470154,noise_s8,valuemetric,sigma=8.0,30.085824539147886,0.8056402802467346,1,1,-212.74125185635612,14.626849174499512,31.99999237060547,-41.24734702590171,-213.0422818520201,nonce,1.0,,,,,,
